Rxn name,Rxn description,Formula,Gene-reaction association,Genes,Subsystem,Reversible,LB,UB,Objective
13DAMPPabcpp,1 3 diaminopromane transport via ABC system periplasm ,13dampp[p] + atp[c] + h2o[c]  -> 13dampp[c] + adp[c] + h[c] + pi[c] ,,,Transport ABC system,0,0,1000,0
13DAMPPtex,1 3 Diaminopropane transport via diffusion extracellular to periplasm ,13dampp[e]  <=> 13dampp[p] ,,,Transport Outer Membrane,1,-1000,1000,0
15DAPabcpp,cadaverine transport via ABC system periplasm ,15dap[p] + atp[c] + h2o[c]  -> 15dap[c] + adp[c] + h[c] + pi[c] ,,,Transport ABC system,0,0,1000,0
1P2CBXLCYCL,1 Pyrroline 2 carboxylate cyclation,5a2opntn[c]  <=> 1p2cbxl[c] + h2o[c] + h[c] ,PP_s0001,PP_s0001,Alternate Carbon and Nitrogen source Dipeptide Metabolism,1,-1000,1000,0
1P2CBXLR,Delta1 piperideine 2 carboxylate reductase,1p2cbxl[c] + 2 h[c] + nadph[c]  -> nadp[c] + pro_L[c] ,PP_3591,PP_3591,Alternate Carbon and Nitrogen source D Amino acids Metabolism,0,0,1000,0
1PPDCRc,L PipecolateNADP 2 oxidoreductase,1pipdn2c[c] + h[c] + nadph[c]  -> Lpipecol[c] + nadp[c] ,PP_3591,PP_3591,Lysine Metabolism,0,0,1000,0
1PQQS,pyrroloquinoline quinone biosynthesis 1pqq ,2pqq[c] + o2[c]  <=> 1pqq[c] ,,,Cofactor and Prosthetic Group Biosynthesis Pyrroloquinoline quinone biosynthesis,1,-1000,1000,0
1PY4h3cAH,1 Pyrroline 4 hydroxy 2 carboxylate aminohydrolase decyclizing ,1py4h3c[c] + h2o[c] + h[c]  -> 25dop[c] + nh4[c] ,PP_1257,PP_1257,Alternate Carbon and Nitrogen source Hydroxy proline metabolism,0,0,1000,0
23CTI1,decenyl coa cis trans isomerization cis dec 3 enoyl CoA ,decoa[c]  -> dc2coa[c] ,PP_2136,PP_2136,Fatty Acid Metabolism,0,0,1000,0
23CTI2,dodecenyl coa cis trans isomerization cis dodec 3 enoyl CoA ,dded3coa[c]  -> dd2coa[c] ,PP_2136,PP_2136,Fatty Acid Metabolism,0,0,1000,0
23CTI3,cis trans isomerization cis trans isomerization 3Z 6Z dodec dienoyl CoA ,dd_3_6_coa[c]  -> dd6_2_coa[c] ,PP_2136,PP_2136,Fatty Acid Metabolism,0,0,1000,0
24DECOAR,2 4 dienoyl CoA reductase,dec4_2_coa[c] + h[c] + nadph[c]  -> dc2coa[c] + nadp[c] ,PP_2008,PP_2008,Fatty Acid Metabolism,0,0,1000,0
25DKGLCNt2rpp,2 5 diketo D gluconate transport via proton symport reversible periplasm ,25dkglcn[p] + h[p]  <=> 25dkglcn[c] + h[c] ,,,Transport Inner Membrane,1,-1000,1000,0
25DKGLCNtex,2 5 diketo D gluconate transport via diffusion extracellular to periplasm ,25dkglcn[e]  <=> 25dkglcn[p] ,,,Transport Outer Membrane,1,-1000,1000,0
26DAHtex,meso 2 6 Diaminoheptanedioate transport via diffusion extracellular to periplasm ,26dap_M[e]  <=> 26dap_M[p] ,,,Transport Outer Membrane,1,-1000,1000,0
2AACLPGT160,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase n C160 ,2agpg160[c] + palmACP[c]  -> ACP[c] + pg160[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AACLPGT161,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase n C160 ,2agpg161[c] + hdeACP[c]  -> ACP[c] + pg161[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AACLPGT180,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase n C160 ,2agpg180[c] + ocdcaACP[c]  -> ACP[c] + pg180[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AACLPGT181,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase n C160 ,2agpg181[c] + octeACP[c]  -> ACP[c] + pg181[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
2AACLPPEAT160,2 acyl acyl carrier protein glycerophospho glycerol acyltransferase n C160 ,2agpe160[c] + palmACP[c]  -> ACP[c] + pe160[c] ,PP_1700,PP_1700,Glycerophospholipid Metabolism,0,0,1000,0
